127.0.0.1 - - [01/Jun/2023:08:56:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:56:56 +0900] "GET /k20230524_1_jQuery/22_jQuery_Ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:56:56 +0900] "GET /k20230524_1_jQuery/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:56:56 +0900] "GET /k20230524_1_jQuery/js/jQuery22.js HTTP/1.1" 200 3507
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:56:56 +0900] "GET /k20230524_1_jQuery/css/jQuery22.css HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:56:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:22 +0900] "GET /k20230524_1_jQuery/emplist.xml?key=value&_=1685577416447 HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:50 +0900] "GET /k20230524_1_jQuery/22_jQuery_Ajax1.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:50 +0900] "GET /k20230524_1_jQuery/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:50 +0900] "GET /k20230524_1_jQuery/css/jQuery22.css HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:50 +0900] "GET /k20230524_1_jQuery/js/jQuery22.js HTTP/1.1" 200 3504
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /k20230524_1_jQuery/22_jQuery_Ajax1.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /k20230524_1_jQuery/css/jQuery22.css HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /k20230524_1_jQuery/js/jQuery22.js HTTP/1.1" 200 3504
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /k20230524_1_jQuery/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /k20230524_1_jQuery/22_jQuery_Ajax1.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /k20230524_1_jQuery/css/jQuery22.css HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [01/Jun/2023:08:57:51 +0900] "GET /k20230524_1_jQuery/js/jQuery22.js HTTP/1.1" 200 3504
